    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
   43 3727.0000        3     2.50000e+02    -3.49732e+03    -4.61489e-07     2.50000e+02    -1.68433e+03    -2.22257e-07     1.50000e+02     7.47998e+02     9.49614e+01     1.50000e+02     1.23857e+03     3.35829e+02     1.50000e+02     3.09222e+02     3.43588e+02     1.50000e+02     1.10796e+03     2.63441e+02
   44 3827.0000        3     2.50000e+02    -3.51639e+03    -4.64006e-07     2.50000e+02    -1.69110e+03    -2.23150e-07     1.50000e+02     7.61920e+02     9.17980e+01     1.50000e+02     1.25160e+03     3.31811e+02     1.50000e+02     3.22994e+02     3.36002e+02     1.50000e+02     1.13361e+03     2.55390e+02
   45 3927.0000        3     2.50000e+02    -3.53529e+03    -4.66500e-07     2.50000e+02    -1.69774e+03    -2.24026e-07     1.50000e+02     7.75162e+02     8.87795e+01     1.50000e+02     1.26414e+03     3.27971e+02     1.50000e+02     3.36112e+02     3.29413e+02     1.50000e+02     1.15847e+03     2.47617e+02
   46 4027.0000        3     2.50000e+02    -3.55393e+03    -4.68960e-07     2.50000e+02    -1.70422e+03    -2.24880e-07     1.50000e+02     7.87869e+02     8.59243e+01     1.50000e+02     1.27614e+03     3.24271e+02     1.50000e+02     3.48444e+02     3.23084e+02     1.50000e+02     1.18244e+03     2.40082e+02
   47 4127.0000        3     2.50000e+02    -3.57290e+03    -4.71463e-07     2.50000e+02    -1.71059e+03    -2.25721e-07     1.50000e+02     8.01457e+02     8.33959e+01     1.50000e+02     1.28773e+03     3.20691e+02     1.50000e+02     3.60049e+02     3.16984e+02     1.50000e+02     1.20553e+03     2.32933e+02
   48 4227.0000        3     2.50000e+02    -3.59211e+03    -4.73998e-07     2.50000e+02    -1.71685e+03    -2.26547e-07     1.50000e+02     8.14469e+02     8.09685e+01     1.50000e+02     1.29893e+03     3.17212e+02     1.50000e+02     3.70777e+02     3.11216e+02     1.50000e+02     1.22864e+03     2.26459e+02
   49 4327.0000        3     2.50000e+02    -3.61115e+03    -4.76510e-07     2.50000e+02    -1.72300e+03    -2.27358e-07     1.50000e+02     8.26980e+02     7.86277e+01     1.50000e+02     1.30980e+03     3.13826e+02     1.50000e+02     3.80762e+02     3.05717e+02     1.50000e+02     1.25049e+03     2.20371e+02
   50 4427.0000        3     2.50000e+02    -3.62979e+03    -4.78969e-07     2.50000e+02    -1.72903e+03    -2.28154e-07     1.50000e+02     8.39134e+02     7.63450e+01     1.50000e+02     1.32038e+03     3.10549e+02     1.50000e+02     3.90195e+02     3.00423e+02     1.50000e+02     1.27111e+03     2.14644e+02
   51 4527.0000        3     2.50000e+02    -3.64801e+03    -4.81373e-07     2.50000e+02    -1.73494e+03    -2.28934e-07     1.50000e+02     8.51084e+02     7.40905e+01     1.50000e+02     1.33072e+03     3.07331e+02     1.50000e+02     3.99186e+02     2.95355e+02     1.50000e+02     1.29087e+03     2.09254e+02
   52 4627.0000        3     2.50000e+02    -3.66581e+03    -4.83722e-07     2.50000e+02    -1.74073e+03    -2.29698e-07     1.50000e+02     8.62931e+02     7.18491e+01     1.50000e+02     1.34090e+03     3.04139e+02     1.50000e+02     4.07934e+02     2.90438e+02     1.50000e+02     1.30976e+03     2.04139e+02
   53 4727.0000        3     2.50000e+02    -3.68322e+03    -4.86019e-07     2.50000e+02    -1.74643e+03    -2.30451e-07     1.50000e+02     8.74740e+02     6.96192e+01     1.50000e+02     1.35104e+03     3.00947e+02     1.50000e+02     4.16866e+02     2.85298e+02     1.50000e+02     1.32789e+03     1.99258e+02
   54 4827.0000        3     2.50000e+02    -3.70026e+03    -4.88268e-07     2.50000e+02    -1.75203e+03    -2.31190e-07     1.50000e+02     8.86522e+02     6.74144e+01     1.50000e+02     1.36115e+03     2.97722e+02     1.50000e+02     4.27673e+02     2.79029e+02     1.50000e+02     1.34548e+03     1.94570e+02
   55 4927.0000        3     2.50000e+02    -3.71694e+03    -4.90469e-07     2.50000e+02    -1.75755e+03    -2.31918e-07     1.50000e+02     8.98141e+02     6.52408e+01     1.50000e+02     1.37129e+03     2.94439e+02     1.50000e+02     4.41384e+02     2.71251e+02     1.50000e+02     1.36256e+03     1.90032e+02
   56 5027.0000        3     2.50000e+02    -3.73341e+03    -4.92643e-07     2.50000e+02    -1.76298e+03    -2.32635e-07     1.50000e+02     9.09482e+02     6.31131e+01     1.50000e+02     1.38151e+03     2.91077e+02     1.50000e+02     4.57237e+02     2.62906e+02     1.50000e+02     1.37915e+03     1.85631e+02
   57 5127.0000        3     2.50000e+02    -3.74989e+03    -4.94817e-07     2.50000e+02    -1.76832e+03    -2.33340e-07     1.50000e+02     9.20406e+02     6.10662e+01     1.50000e+02     1.39174e+03     2.87659e+02     1.50000e+02     4.73768e+02     2.55109e+02     1.50000e+02     1.39527e+03     1.81339e+02
   58 5227.0000        3     2.50000e+02    -3.76625e+03    -4.96977e-07     2.50000e+02    -1.77359e+03    -2.34034e-07     1.50000e+02     9.30856e+02     5.91108e+01     1.50000e+02     1.40201e+03     2.84190e+02     1.50000e+02     4.88681e+02     2.48030e+02     1.50000e+02     1.41086e+03     1.77171e+02
   59 5327.0000        3     2.50000e+02    -3.78240e+03    -4.99108e-07     2.50000e+02    -1.77878e+03    -2.34719e-07     1.50000e+02     9.40789e+02     5.72479e+01     1.50000e+02     1.41231e+03     2.80667e+02     1.50000e+02     5.02294e+02     2.41736e+02     1.50000e+02     1.42588e+03     1.73146e+02
   60 5427.0000        3     2.50000e+02    -3.79837e+03    -5.01215e-07     2.50000e+02    -1.78396e+03    -2.35403e-07     1.50000e+02     9.50595e+02     5.55259e+01     1.50000e+02     1.42279e+03     2.77210e+02     1.50000e+02     5.14490e+02     2.36094e+02     1.50000e+02     1.44031e+03     1.69280e+02
