    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
   36  961.0000        2     2.50000e+02    -1.97911e+03    -2.61154e-07     2.50000e+02    -5.92963e+02    -7.82446e-08     1.50000e+02     5.40576e-03     1.23378e+02     1.50000e+02     2.61226e-02     4.23423e+02     1.50000e+02     2.50346e-02     4.73359e+02     1.50000e+02     9.74170e-03     3.63392e+02
   37  991.0000        2     2.50000e+02    -1.99049e+03    -2.62656e-07     2.50000e+02    -5.97636e+02    -7.88612e-08     1.50000e+02     5.40321e-03     1.23270e+02     1.50000e+02     2.61001e-02     4.23348e+02     1.50000e+02     2.50449e-02     4.74384e+02     1.50000e+02     9.73150e-03     3.63920e+02
   38 1021.0000        2     2.50000e+02    -2.00077e+03    -2.64011e-07     2.50000e+02    -6.01891e+02    -7.94226e-08     1.50000e+02     5.40128e-03     1.23222e+02     1.50000e+02     2.60862e-02     4.23445e+02     1.50000e+02     2.50573e-02     4.75487e+02     1.50000e+02     9.72639e-03     3.64528e+02
   39 1051.0000        2     2.50000e+02    -2.00986e+03    -2.65212e-07     2.50000e+02    -6.07051e+02    -8.01036e-08     1.50000e+02     5.39994e-03     1.23227e+02     1.50000e+02     2.60797e-02     4.23691e+02     1.50000e+02     2.50711e-02     4.76645e+02     1.50000e+02     9.72942e-03     3.65195e+02
   40 1081.0000        2     2.50000e+02    -2.01793e+03    -2.66277e-07     2.50000e+02    -6.12130e+02    -8.07738e-08     1.50000e+02     5.39911e-03     1.23281e+02     1.50000e+02     2.60799e-02     4.24071e+02     1.50000e+02     2.50860e-02     4.77847e+02     1.50000e+02     9.74418e-03     3.65899e+02
   41 1111.0000        2     2.50000e+02    -2.02510e+03    -2.67222e-07     2.50000e+02    -6.16824e+02    -8.13932e-08     1.50000e+02     5.39875e-03     1.23380e+02     1.50000e+02     2.60860e-02     4.24572e+02     1.50000e+02     2.51013e-02     4.79079e+02     1.50000e+02     9.77421e-03     3.66654e+02
   42 1141.0000        2     2.50000e+02    -2.03141e+03    -2.68055e-07     2.50000e+02    -6.21244e+02    -8.19764e-08     1.50000e+02     5.39880e-03     1.23518e+02     1.50000e+02     2.60978e-02     4.25187e+02     1.50000e+02     2.51166e-02     4.80321e+02     1.50000e+02     9.82399e-03     3.67467e+02
   43 1171.0000        2     2.50000e+02    -2.03692e+03    -2.68782e-07     2.50000e+02    -6.25338e+02    -8.25166e-08     1.50000e+02     5.39920e-03     1.23691e+02     1.50000e+02     2.61145e-02     4.25904e+02     1.50000e+02     2.51314e-02     4.81558e+02     1.50000e+02     9.89962e-03     3.68317e+02
   44 1201.0000        2     2.50000e+02    -2.04174e+03    -2.69418e-07     2.50000e+02    -6.29094e+02    -8.30122e-08     1.50000e+02     5.39989e-03     1.23896e+02     1.50000e+02     2.61353e-02     4.26706e+02     1.50000e+02     2.51457e-02     4.82787e+02     1.50000e+02     1.00080e-02     3.69189e+02
   45 1231.0000        2     2.50000e+02    -2.04596e+03    -2.69975e-07     2.50000e+02    -6.32534e+02    -8.34662e-08     1.50000e+02     5.40083e-03     1.24127e+02     1.50000e+02     2.61593e-02     4.27575e+02     1.50000e+02     2.51588e-02     4.83991e+02     1.50000e+02     1.01562e-02     3.70100e+02
   46 1261.0000        2     2.50000e+02    -2.04973e+03    -2.70472e-07     2.50000e+02    -6.35748e+02    -8.38903e-08     1.50000e+02     5.40196e-03     1.24383e+02     1.50000e+02     2.61856e-02     4.28495e+02     1.50000e+02     2.51709e-02     4.85166e+02     1.50000e+02     1.03528e-02     3.71066e+02
   47 1291.0000        2     2.50000e+02    -2.05362e+03    -2.70986e-07     2.50000e+02    -6.38762e+02    -8.42879e-08     1.50000e+02     5.40325e-03     1.24659e+02     1.50000e+02     2.62137e-02     4.29453e+02     1.50000e+02     2.51820e-02     4.86321e+02     1.50000e+02     1.06084e-02     3.72064e+02
   48 1321.0000        2     2.50000e+02    -2.05819e+03    -2.71589e-07     2.50000e+02    -6.41660e+02    -8.46703e-08     1.50000e+02     5.40464e-03     1.24952e+02     1.50000e+02     2.62434e-02     4.30447e+02     1.50000e+02     2.51923e-02     4.87455e+02     1.50000e+02     1.09346e-02     3.73081e+02
   49 1351.0000        2     2.50000e+02    -2.06221e+03    -2.72120e-07     2.50000e+02    -6.44416e+02    -8.50340e-08     1.50000e+02     5.40611e-03     1.25259e+02     1.50000e+02     2.62747e-02     4.31479e+02     1.50000e+02     2.52015e-02     4.88556e+02     1.50000e+02     1.13531e-02     3.74119e+02
   50 1381.0000        2     2.50000e+02    -2.06585e+03    -2.72600e-07     2.50000e+02    -6.46978e+02    -8.53721e-08     1.50000e+02     5.40762e-03     1.25579e+02     1.50000e+02     2.63073e-02     4.32541e+02     1.50000e+02     2.52092e-02     4.89611e+02     1.50000e+02     1.18910e-02     3.75201e+02
   51 1411.0000        2     2.50000e+02    -2.06906e+03    -2.73023e-07     2.50000e+02    -6.49877e+02    -8.57546e-08     1.50000e+02     5.40914e-03     1.25907e+02     1.50000e+02     2.63408e-02     4.33622e+02     1.50000e+02     2.52158e-02     4.90632e+02     1.50000e+02     1.25815e-02     3.76309e+02
   52 1441.0000        2     2.50000e+02    -2.07195e+03    -2.73404e-07     2.50000e+02    -6.52970e+02    -8.61627e-08     1.50000e+02     5.41065e-03     1.26242e+02     1.50000e+02     2.63745e-02     4.34714e+02     1.50000e+02     2.52222e-02     4.91644e+02     1.50000e+02     1.34706e-02     3.77433e+02
   53 1471.0000        2     2.50000e+02    -2.07453e+03    -2.73744e-07     2.50000e+02    -6.55839e+02    -8.65413e-08     1.50000e+02     5.41212e-03     1.26582e+02     1.50000e+02     2.64083e-02     4.35810e+02     1.50000e+02     2.52284e-02     4.92645e+02     1.50000e+02     1.46076e-02     3.78554e+02
   54 1501.0000        2     2.50000e+02    -2.07670e+03    -2.74031e-07     2.50000e+02    -6.58576e+02    -8.69025e-08     1.50000e+02     5.41354e-03     1.26925e+02     1.50000e+02     2.64421e-02     4.36908e+02     1.50000e+02     2.52340e-02     4.93619e+02     1.50000e+02     1.60453e-02     3.79651e+02
   55 1531.0000        2     2.50000e+02    -2.07855e+03    -2.74276e-07     2.50000e+02    -6.61242e+02    -8.72543e-08     1.50000e+02     5.41490e-03     1.27271e+02     1.50000e+02     2.64760e-02     4.38014e+02     1.50000e+02     2.52392e-02     4.94565e+02     1.50000e+02     1.78520e-02     3.80737e+02
   56 1561.0000        2     2.50000e+02    -2.08032e+03    -2.74509e-07     2.50000e+02    -6.63808e+02    -8.75929e-08     1.50000e+02     5.41619e-03     1.27618e+02     1.50000e+02     2.65103e-02     4.39129e+02     1.50000e+02     2.52447e-02     4.95501e+02     1.50000e+02     2.01095e-02     3.81835e+02
   57 1591.0000        2     2.50000e+02    -2.08186e+03    -2.74712e-07     2.50000e+02    -6.66228e+02    -8.79123e-08     1.50000e+02     5.41739e-03     1.27965e+02     1.50000e+02     2.65448e-02     4.40251e+02     1.50000e+02     2.52504e-02     4.96416e+02     1.50000e+02     2.29042e-02     3.82928e+02
   58 1621.0000        2     2.50000e+02    -2.08316e+03    -2.74883e-07     2.50000e+02    -6.68491e+02    -8.82109e-08     1.50000e+02     5.41850e-03     1.28311e+02     1.50000e+02     2.65791e-02     4.41372e+02     1.50000e+02     2.52562e-02     4.97296e+02     1.50000e+02     2.63303e-02     3.84007e+02
   59 1651.0000        2     2.50000e+02    -2.08432e+03    -2.75036e-07     2.50000e+02    -6.70603e+02    -8.84895e-08     1.50000e+02     5.41952e-03     1.28655e+02     1.50000e+02     2.66129e-02     4.42483e+02     1.50000e+02     2.52624e-02     4.98143e+02     1.50000e+02     3.05047e-02     3.85091e+02
   60 1681.0000        2     2.50000e+02    -2.08543e+03    -2.75183e-07     2.50000e+02    -6.72644e+02    -8.87589e-08     1.50000e+02     5.42044e-03     1.28996e+02     1.50000e+02     2.66461e-02     4.43584e+02     1.50000e+02     2.52705e-02     4.98996e+02     1.50000e+02     3.55479e-02     3.86145e+02
   61 1711.0000        2     2.50000e+02    -2.08644e+03    -2.75317e-07     2.50000e+02    -6.74624e+02    -8.90201e-08     1.50000e+02     5.42125e-03     1.29334e+02     1.50000e+02     2.66787e-02     4.44674e+02     1.50000e+02     2.52806e-02     4.99840e+02     1.50000e+02     4.16018e-02     3.87180e+02
   62 1741.0000        2     2.50000e+02    -2.08728e+03    -2.75427e-07     2.50000e+02    -6.76492e+02    -8.92666e-08     1.50000e+02     5.42197e-03     1.29668e+02     1.50000e+02     2.67106e-02     4.45749e+02     1.50000e+02     2.52925e-02     5.00652e+02     1.50000e+02     4.88093e-02     3.88182e+02
   63 1771.0000        2     2.50000e+02    -2.08791e+03    -2.75511e-07     2.50000e+02    -6.78271e+02    -8.95013e-08     1.50000e+02     5.42257e-03     1.29998e+02     1.50000e+02     2.67417e-02     4.46803e+02     1.50000e+02     2.53065e-02     5.01417e+02     1.50000e+02     5.73176e-02     3.89144e+02
   64 1801.0000        2     2.50000e+02    -2.08836e+03    -2.75570e-07     2.50000e+02    -6.79958e+02    -8.97239e-08     1.50000e+02     5.42308e-03     1.30323e+02     1.50000e+02     2.67720e-02     4.47842e+02     1.50000e+02     2.53240e-02     5.02160e+02     1.50000e+02     6.72772e-02     3.90064e+02
   65 1831.0000        2     2.50000e+02    -2.08879e+03    -2.75627e-07     2.50000e+02    -6.81572e+02    -8.99370e-08     1.50000e+02     5.42348e-03     1.30642e+02     1.50000e+02     2.68019e-02     4.48868e+02     1.50000e+02     2.53472e-02     5.02922e+02     1.50000e+02     7.88731e-02     3.90988e+02
   66 1861.0000        2     2.50000e+02    -2.08914e+03    -2.75673e-07     2.50000e+02    -6.83164e+02    -9.01471e-08     1.50000e+02     5.42377e-03     1.30955e+02     1.50000e+02     2.68314e-02     4.49880e+02     1.50000e+02     2.53767e-02     5.03673e+02     1.50000e+02     9.22920e-02     3.91894e+02
   67 1891.0000        2     2.50000e+02    -2.08943e+03    -2.75711e-07     2.50000e+02    -6.84758e+02    -9.03573e-08     1.50000e+02     5.42397e-03     1.31262e+02     1.50000e+02     2.68605e-02     4.50877e+02     1.50000e+02     2.54135e-02     5.04386e+02     1.50000e+02     1.07744e-01     3.92782e+02
   68 1921.0000        2     2.50000e+02    -2.08962e+03    -2.75737e-07     2.50000e+02    -6.86281e+02    -9.05584e-08     1.50000e+02     5.42407e-03     1.31562e+02     1.50000e+02     2.68892e-02     4.51857e+02     1.50000e+02     2.54593e-02     5.05045e+02     1.50000e+02     1.25433e-01     3.93637e+02
   69 1951.0000        2     2.50000e+02    -2.08975e+03    -2.75753e-07     2.50000e+02    -6.87708e+02    -9.07466e-08     1.50000e+02     5.42407e-03     1.31855e+02     1.50000e+02     2.69173e-02     4.52815e+02     1.50000e+02     2.55163e-02     5.05642e+02     1.50000e+02     1.45568e-01     3.94451e+02
   70 1981.0000        2     2.50000e+02    -2.08980e+03    -2.75761e-07     2.50000e+02    -6.89031e+02    -9.09212e-08     1.50000e+02     5.42399e-03     1.32141e+02     1.50000e+02     2.69448e-02     4.53743e+02     1.50000e+02     2.55879e-02     5.06194e+02     1.50000e+02     1.68356e-01     3.95218e+02
   71 2011.0000        2     2.50000e+02    -2.08980e+03    -2.75760e-07     2.50000e+02    -6.90261e+02    -9.10836e-08     1.50000e+02     5.42382e-03     1.32420e+02     1.50000e+02     2.69717e-02     4.54639e+02     1.50000e+02     2.56797e-02     5.06772e+02     1.50000e+02     1.94040e-01     3.95958e+02
   72 2041.0000        2     2.50000e+02    -2.08971e+03    -2.75748e-07     2.50000e+02    -6.91878e+02    -9.12968e-08     1.50000e+02     5.42357e-03     1.32693e+02     1.50000e+02     2.69984e-02     4.55511e+02     1.50000e+02     2.57961e-02     5.07372e+02     1.50000e+02     2.22865e-01     3.96671e+02
   73 2071.0000        2     2.50000e+02    -2.08957e+03    -2.75729e-07     2.50000e+02    -6.93558e+02    -9.15185e-08     1.50000e+02     5.42325e-03     1.32959e+02     1.50000e+02     2.70260e-02     4.56374e+02     1.50000e+02     2.59412e-02     5.07958e+02     1.50000e+02     2.58326e-01     3.97357e+02
